project_id,date,progress_percent,daily_cost,number_of_workers
1,2022-08-31,40.82,145162,200
1,2022-09-01,40.93,135976,480
1,2022-09-02,41.05,102249,345
1,2022-09-03,41.3,93893,155
1,2022-09-04,41.45,129593,178
1,2022-09-05,41.56,66611,484
1,2022-09-06,41.64,67858,462
1,2022-09-07,41.85,88820,389
1,2022-09-08,42.07,141847,147
1,2022-09-09,42.26,55821,296
1,2022-09-10,42.32,118151,363
1,2022-09-11,42.37,95321,380
1,2022-09-12,42.47,99075,370
1,2022-09-13,42.56,144733,489
1,2022-09-14,42.75,60554,491
1,2022-09-15,42.88,102794,252
1,2022-09-16,43.03,111219,263
1,2022-09-17,43.13,128941,478
1,2022-09-18,43.23,56046,259
1,2022-09-19,43.35,64611,244
1,2022-09-20,43.49,87028,104
1,2022-09-21,43.71,140390,209
1,2022-09-22,43.89,62813,262
1,2022-09-23,43.97,81945,388
1,2022-09-24,44.21,83133,253
1,2022-09-25,44.36,114184,397
1,2022-09-26,44.53,140359,301
1,2022-09-27,44.66,130006,382
1,2022-09-28,44.83,130670,228
1,2022-09-29,44.89,56629,295
1,2022-09-30,45.02,102282,410
1,2022-10-01,45.14,103734,323
1,2022-10-02,45.38,65731,340
1,2022-10-03,45.51,109007,381
1,2022-10-04,45.69,112773,437
1,2022-10-05,45.84,103039,272
1,2022-10-06,46.02,89431,226
1,2022-10-07,46.11,65526,441
1,2022-10-08,46.19,87816,468
1,2022-10-09,46.34,143227,289
1,2022-10-10,46.42,129299,354
1,2022-10-11,46.49,90580,387
1,2022-10-12,46.63,147271,257
1,2022-10-13,46.82,64561,169
1,2022-10-14,47.06,145406,374
1,2022-10-15,47.17,89227,387
1,2022-10-16,47.23,83275,439
1,2022-10-17,47.43,89794,270
1,2022-10-18,47.6,52950,167
1,2022-10-19,47.82,89872,452
1,2022-10-20,47.98,116406,179
1,2022-10-21,48.14,85175,390
1,2022-10-22,48.29,96353,297
1,2022-10-23,48.43,92142,143
1,2022-10-24,48.61,73169,346
1,2022-10-25,48.71,100847,167
1,2022-10-26,48.89,68288,162
1,2022-10-27,49.02,124615,266
1,2022-10-28,49.08,117509,466
1,2022-10-29,49.21,146986,327
1,2022-10-30,49.32,83126,396
1,2022-10-31,49.48,137382,139
1,2022-11-01,49.69,130397,490
1,2022-11-02,49.81,105438,264
1,2022-11-03,50.04,111729,200
1,2022-11-04,50.26,116621,221
1,2022-11-05,50.36,120368,274
1,2022-11-06,50.48,105047,124
1,2022-11-07,50.69,60170,403
1,2022-11-08,50.78,104547,104
1,2022-11-09,50.87,75110,258
1,2022-11-10,51.03,96700,179
1,2022-11-11,51.09,64310,219
1,2022-11-12,51.31,52103,129
1,2022-11-13,51.46,112242,301
1,2022-11-14,51.65,87482,145
1,2022-11-15,51.87,125169,456
1,2022-11-16,52.09,113839,342
1,2022-11-17,52.29,135866,342
1,2022-11-18,52.38,96668,444
1,2022-11-19,52.58,110995,183
1,2022-11-20,52.7,146528,130
1,2022-11-21,52.83,111108,248
1,2022-11-22,52.94,67902,236
1,2022-11-23,53.08,73179,247
1,2022-11-24,53.14,123020,334
1,2022-11-25,53.33,134104,240
1,2022-11-26,53.39,120578,407
1,2022-11-27,53.55,73886,249
1,2022-11-28,53.65,135262,183
1,2022-11-29,53.81,143697,143
1,2022-11-30,53.98,82693,465
1,2022-12-01,54.11,103818,471
1,2022-12-02,54.2,75531,152
1,2022-12-03,54.38,121024,392
1,2022-12-04,54.59,127726,143
1,2022-12-05,54.71,118809,258
1,2022-12-06,54.93,99034,184
1,2022-12-07,55.01,56556,160
1,2022-12-08,55.14,97548,111
1,2022-12-09,55.19,97359,275
1,2022-12-10,55.32,109196,360
1,2022-12-11,55.55,79416,110
1,2022-12-12,55.64,59566,181
1,2022-12-13,55.88,127519,120
1,2022-12-14,56.05,113095,154
1,2022-12-15,56.25,115688,190
1,2022-12-16,56.49,88767,128
1,2022-12-17,56.7,124443,193
1,2022-12-18,56.9,132080,426
1,2022-12-19,57.15,145291,106
1,2022-12-20,57.29,107231,151
1,2022-12-21,57.46,121288,336
1,2022-12-22,57.57,99565,385
1,2022-12-23,57.66,122367,205
1,2022-12-24,57.86,125181,337
1,2022-12-25,58.02,80858,142
1,2022-12-26,58.18,139273,114
1,2022-12-27,58.3,104208,121
1,2022-12-28,58.49,78843,445
1,2022-12-29,58.57,88146,325
1,2022-12-30,58.72,81695,144
1,2022-12-31,58.92,104126,132
1,2023-01-01,59.1,57048,235
1,2023-01-02,59.34,107885,337
1,2023-01-03,59.52,50793,197
1,2023-01-04,59.61,143869,101
1,2023-01-05,59.72,126596,489
1,2023-01-06,59.83,104015,416
1,2023-01-07,60.04,110466,479
1,2023-01-08,60.22,71505,153
1,2023-01-09,60.33,97435,411
1,2023-01-10,60.52,84677,107
1,2023-01-11,60.62,58446,462
1,2023-01-12,60.79,81105,141
1,2023-01-13,60.87,111795,151
1,2023-01-14,60.97,96030,201
1,2023-01-15,61.16,139406,249
1,2023-01-16,61.38,86088,137
1,2023-01-17,61.49,96165,213
1,2023-01-18,61.73,149804,372
1,2023-01-19,61.8,145444,133
1,2023-01-20,61.97,136857,495
1,2023-01-21,62.05,107630,409
1,2023-01-22,62.21,105864,174
1,2023-01-23,62.33,132006,180
1,2023-01-24,62.43,107500,294
1,2023-01-25,62.64,75526,372
1,2023-01-26,62.84,108873,229
1,2023-01-27,62.96,58956,322
1,2023-01-28,63.15,51907,110
1,2023-01-29,63.32,136671,296
1,2023-01-30,63.39,117581,240
1,2023-01-31,63.51,145731,430
1,2023-02-01,63.74,109444,152
1,2023-02-02,63.89,104809,111
1,2023-02-03,63.95,93120,348
1,2023-02-04,64.17,79798,421
1,2023-02-05,64.29,88905,308
1,2023-02-06,64.4,102219,230
1,2023-02-07,64.58,96128,416
1,2023-02-08,64.76,53092,267
1,2023-02-09,65.0,90179,466
1,2023-02-10,65.22,62192,207
1,2023-02-11,65.35,81464,136
1,2023-02-12,65.58,119006,126
1,2023-02-13,65.79,130654,495
1,2023-02-14,65.96,126251,477
1,2023-02-15,66.03,82757,147
1,2023-02-16,66.18,145052,325
1,2023-02-17,66.36,132926,473
1,2023-02-18,66.41,100398,152
1,2023-02-19,66.53,99896,139
1,2023-02-20,66.69,139309,471
1,2023-02-21,66.83,138561,416
1,2023-02-22,67.05,95517,281
1,2023-02-23,67.25,73294,383
2,2022-01-15,0.12,85283,466
2,2022-01-16,0.37,112101,365
2,2022-01-17,0.49,136242,127
2,2022-01-18,0.65,82832,426
2,2022-01-19,0.72,146379,267
2,2022-01-20,0.79,91812,481
2,2022-01-21,1.04,59722,152
2,2022-01-22,1.19,108982,441
2,2022-01-23,1.37,112496,412
2,2022-01-24,1.44,54653,381
2,2022-01-25,1.65,119843,361
2,2022-01-26,1.83,134030,246
2,2022-01-27,2.03,67938,127
2,2022-01-28,2.16,117283,367
2,2022-01-29,2.32,130096,117
2,2022-01-30,2.38,83614,394
2,2022-01-31,2.48,115221,303
2,2022-02-01,2.57,114014,329
2,2022-02-02,2.81,75457,178
2,2022-02-03,3.05,83923,478
2,2022-02-04,3.19,82614,350
2,2022-02-05,3.29,117459,221
2,2022-02-06,3.42,61333,125
2,2022-02-07,3.56,102603,299
2,2022-02-08,3.8,110900,351
2,2022-02-09,3.89,111843,110
2,2022-02-10,4.08,66319,241
2,2022-02-11,4.15,88169,386
2,2022-02-12,4.33,125815,426
2,2022-02-13,4.51,96533,321
2,2022-02-14,4.59,103967,279
2,2022-02-15,4.71,132895,209
2,2022-02-16,4.85,52805,444
2,2022-02-17,4.98,140276,430
2,2022-02-18,5.08,101899,416
2,2022-02-19,5.14,76556,260
2,2022-02-20,5.36,100700,434
2,2022-02-21,5.55,76934,326
2,2022-02-22,5.75,55560,257
2,2022-02-23,5.91,124330,477
2,2022-02-24,6.07,66526,112
2,2022-02-25,6.31,123352,439
2,2022-02-26,6.42,86512,255
2,2022-02-27,6.57,63477,156
2,2022-02-28,6.64,125657,406
2,2022-03-01,6.71,145582,267
2,2022-03-02,6.81,106944,285
2,2022-03-03,6.97,147174,359
2,2022-03-04,7.14,70840,369
2,2022-03-05,7.38,141947,200
2,2022-03-06,7.62,71913,303
2,2022-03-07,7.82,126642,353
2,2022-03-08,8.06,145571,139
2,2022-03-09,8.24,131167,334
2,2022-03-10,8.47,135300,194
2,2022-03-11,8.56,51097,350
2,2022-03-12,8.73,57240,343
2,2022-03-13,8.79,130139,420
2,2022-03-14,8.86,51845,296
2,2022-03-15,8.96,77683,374
2,2022-03-16,9.04,106793,170
2,2022-03-17,9.21,131548,290
2,2022-03-18,9.38,134906,479
2,2022-03-19,9.56,123492,437
2,2022-03-20,9.63,106494,268
2,2022-03-21,9.74,98330,211
2,2022-03-22,9.89,147605,422
2,2022-03-23,9.99,99714,493
2,2022-03-24,10.08,77130,138
2,2022-03-25,10.28,57263,352
2,2022-03-26,10.5,102976,323
2,2022-03-27,10.59,134940,382
2,2022-03-28,10.67,110061,192
2,2022-03-29,10.86,112378,334
2,2022-03-30,11.08,75143,325
2,2022-03-31,11.3,133476,486
2,2022-04-01,11.4,89443,284
2,2022-04-02,11.52,126152,464
2,2022-04-03,11.75,125036,153
2,2022-04-04,11.95,114653,167
2,2022-04-05,12.03,85112,372
2,2022-04-06,12.28,112934,143
2,2022-04-07,12.49,133224,154
2,2022-04-08,12.71,128303,467
2,2022-04-09,12.81,124629,274
2,2022-04-10,12.89,107002,333
2,2022-04-11,13.05,106213,361
2,2022-04-12,13.15,98057,266
2,2022-04-13,13.37,97040,442
2,2022-04-14,13.43,94395,349
2,2022-04-15,13.59,85095,441
2,2022-04-16,13.75,140948,449
2,2022-04-17,13.93,122785,110
2,2022-04-18,14.04,51744,411
2,2022-04-19,14.26,104991,291
2,2022-04-20,14.46,143973,391
2,2022-04-21,14.7,142936,392
2,2022-04-22,14.82,149017,259
2,2022-04-23,14.9,139317,389
2,2022-04-24,15.09,98352,448
2,2022-04-25,15.34,79982,298
2,2022-04-26,15.42,52063,261
2,2022-04-27,15.56,138152,232
2,2022-04-28,15.68,117898,153
2,2022-04-29,15.84,80369,268
2,2022-04-30,15.98,104354,404
2,2022-05-01,16.21,68332,251
2,2022-05-02,16.27,91032,305
2,2022-05-03,16.34,78126,443
2,2022-05-04,16.51,144576,271
2,2022-05-05,16.7,106696,271
2,2022-05-06,16.76,93576,101
2,2022-05-07,16.81,125011,129
2,2022-05-08,16.99,116344,422
2,2022-05-09,17.2,145120,223
2,2022-05-10,17.36,51707,317
2,2022-05-11,17.43,92813,461
2,2022-05-12,17.5,97220,482
2,2022-05-13,17.65,68668,244
2,2022-05-14,17.71,83598,403
2,2022-05-15,17.78,94348,119
2,2022-05-16,17.94,77163,343
2,2022-05-17,18.07,78337,454
2,2022-05-18,18.25,144409,296
2,2022-05-19,18.43,88893,288
2,2022-05-20,18.5,145133,348
2,2022-05-21,18.68,80220,475
2,2022-05-22,18.76,89738,223
2,2022-05-23,18.92,78157,321
2,2022-05-24,19.07,53499,213
2,2022-05-25,19.15,147804,333
2,2022-05-26,19.37,83146,289
2,2022-05-27,19.44,105825,119
2,2022-05-28,19.54,114576,469
2,2022-05-29,19.63,142850,433
2,2022-05-30,19.79,144499,480
2,2022-05-31,19.97,146804,149
2,2022-06-01,20.02,112433,129
2,2022-06-02,20.14,128113,366
2,2022-06-03,20.29,107823,216
2,2022-06-04,20.4,60282,286
2,2022-06-05,20.61,115399,244
2,2022-06-06,20.77,122362,361
2,2022-06-07,20.87,142480,469
2,2022-06-08,21.08,82280,236
2,2022-06-09,21.16,61873,475
2,2022-06-10,21.24,59600,222
2,2022-06-11,21.35,54044,176
2,2022-06-12,21.48,61262,445
2,2022-06-13,21.64,133529,196
2,2022-06-14,21.82,103399,295
2,2022-06-15,22.01,113306,227
2,2022-06-16,22.2,106320,222
2,2022-06-17,22.44,73161,253
2,2022-06-18,22.6,51516,190
2,2022-06-19,22.73,137237,283
2,2022-06-20,22.82,140528,419
2,2022-06-21,22.9,84409,189
2,2022-06-22,23.0,139007,389
2,2022-06-23,23.12,68510,475
2,2022-06-24,23.23,93422,329
2,2022-06-25,23.39,77960,470
2,2022-06-26,23.45,56957,309
2,2022-06-27,23.62,53934,261
2,2022-06-28,23.69,73821,451
2,2022-06-29,23.75,124815,446
2,2022-06-30,23.81,85618,178
2,2022-07-01,23.92,95902,346
2,2022-07-02,24.0,63167,175
2,2022-07-03,24.11,120249,442
2,2022-07-04,24.36,137788,264
2,2022-07-05,24.61,149812,418
2,2022-07-06,24.79,75383,150
2,2022-07-07,24.91,92180,361
2,2022-07-08,24.97,60506,230
2,2022-07-09,25.05,108141,422
2,2022-07-10,25.19,57771,288
2,2022-07-11,25.4,70972,280
2,2022-07-12,25.52,97826,204
2,2022-07-13,25.66,111011,108
2,2022-07-14,25.72,130922,488
2,2022-07-15,25.94,80676,268
2,2022-07-16,26.01,100039,210
2,2022-07-17,26.18,115472,128
2,2022-07-18,26.35,137275,291
2,2022-07-19,26.57,138988,128
2,2022-07-20,26.8,98265,344
2,2022-07-21,26.87,105527,443
2,2022-07-22,26.99,98735,497
2,2022-07-23,27.1,138682,394
2,2022-07-24,27.16,88648,254
2,2022-07-25,27.32,94130,254
2,2022-07-26,27.44,106681,498
2,2022-07-27,27.58,64902,186
2,2022-07-28,27.68,111899,446
2,2022-07-29,27.92,144239,229
2,2022-07-30,28.12,119040,485
2,2022-07-31,28.22,66604,426
2,2022-08-01,28.36,133074,434
2,2022-08-02,28.59,124533,328
2,2022-08-03,28.68,101731,297
2,2022-08-04,28.78,87745,163
2,2022-08-05,28.89,124079,242
2,2022-08-06,29.08,132432,182
2,2022-08-07,29.3,94410,168
2,2022-08-08,29.42,146567,464
2,2022-08-09,29.64,133602,171
2,2022-08-10,29.84,82418,486
2,2022-08-11,30.02,57185,157
2,2022-08-12,30.07,93979,307
2,2022-08-13,30.26,66227,414
2,2022-08-14,30.32,56629,368
2,2022-08-15,30.42,124356,355
2,2022-08-16,30.59,120084,331
2,2022-08-17,30.66,94719,178
2,2022-08-18,30.77,112663,257
2,2022-08-19,30.97,76062,272
2,2022-08-20,31.04,111392,208
2,2022-08-21,31.15,124970,329
2,2022-08-22,31.39,125226,276
2,2022-08-23,31.5,52843,208
2,2022-08-24,31.71,93898,151
2,2022-08-25,31.9,58824,142
2,2022-08-26,31.96,97448,135
2,2022-08-27,32.2,126147,370
2,2022-08-28,32.3,53114,343
2,2022-08-29,32.4,67760,215
2,2022-08-30,32.56,145421,420
2,2022-08-31,32.67,88707,326
2,2022-09-01,32.73,67818,192
2,2022-09-02,32.89,94625,480
2,2022-09-03,33.01,137846,175
2,2022-09-04,33.11,127166,282
2,2022-09-05,33.28,88293,468
2,2022-09-06,33.41,133945,340
2,2022-09-07,33.47,85163,189
2,2022-09-08,33.71,120418,190
2,2022-09-09,33.89,118247,132
2,2022-09-10,34.14,114833,322
2,2022-09-11,34.26,134211,486
2,2022-09-12,34.39,139465,277
2,2022-09-13,34.44,53416,317
2,2022-09-14,34.67,99339,459
2,2022-09-15,34.83,72965,303
2,2022-09-16,34.95,134157,489
2,2022-09-17,35.0,62550,346
2,2022-09-18,35.16,91253,290
2,2022-09-19,35.36,126050,102
2,2022-09-20,35.53,90510,500
2,2022-09-21,35.72,145969,458
2,2022-09-22,35.78,82236,382
2,2022-09-23,35.86,87563,403
2,2022-09-24,36.01,92168,174
2,2022-09-25,36.15,86932,422
2,2022-09-26,36.35,132618,476
2,2022-09-27,36.43,84234,469
2,2022-09-28,36.58,133957,232
2,2022-09-29,36.77,142813,275
2,2022-09-30,36.91,130675,486
2,2022-10-01,37.04,121341,105
2,2022-10-02,37.16,82012,440
2,2022-10-03,37.25,75973,115
2,2022-10-04,37.35,130093,419
2,2022-10-05,37.46,132421,474
2,2022-10-06,37.58,132131,315
2,2022-10-07,37.78,104047,433
2,2022-10-08,37.88,104900,186
2,2022-10-09,37.93,137166,254
2,2022-10-10,38.14,149731,239
2,2022-10-11,38.31,70573,374
2,2022-10-12,38.37,109631,466
2,2022-10-13,38.57,89304,228
2,2022-10-14,38.74,134845,250
2,2022-10-15,38.96,89374,402
2,2022-10-16,39.19,135493,462
2,2022-10-17,39.33,53460,372
2,2022-10-18,39.54,79800,446
2,2022-10-19,39.63,61366,343
2,2022-10-20,39.77,121014,444
2,2022-10-21,39.96,117048,208
2,2022-10-22,40.11,123047,225
2,2022-10-23,40.19,74825,448
2,2022-10-24,40.29,115512,431
2,2022-10-25,40.44,97256,145
2,2022-10-26,40.58,116053,341
2,2022-10-27,40.82,51923,344
2,2022-10-28,40.95,84642,420
2,2022-10-29,41.16,72427,210
2,2022-10-30,41.37,64685,491
2,2022-10-31,41.58,60060,436
2,2022-11-01,41.76,127309,190
2,2022-11-02,41.9,68365,420
2,2022-11-03,42.05,68560,380
2,2022-11-04,42.15,142581,327
2,2022-11-05,42.37,83888,460
2,2022-11-06,42.47,102087,140
2,2022-11-07,42.64,100065,126
2,2022-11-08,42.79,76897,266
2,2022-11-09,42.89,102095,103
2,2022-11-10,43.05,87556,110
2,2022-11-11,43.11,66179,112
2,2022-11-12,43.21,133108,273
2,2022-11-13,43.27,78440,435
2,2022-11-14,43.51,116791,448
2,2022-11-15,43.69,103996,146
2,2022-11-16,43.75,52687,405
2,2022-11-17,43.86,51676,219
2,2022-11-18,43.98,118267,499
2,2022-11-19,44.09,149768,196
2,2022-11-20,44.2,120209,450
2,2022-11-21,44.43,115467,429
2,2022-11-22,44.64,93062,391
2,2022-11-23,44.86,140104,380
2,2022-11-24,45.0,63718,101
2,2022-11-25,45.21,63690,294
2,2022-11-26,45.3,127789,378
2,2022-11-27,45.52,91792,266
2,2022-11-28,45.61,136167,241
2,2022-11-29,45.73,65615,344
2,2022-11-30,45.84,77993,467
2,2022-12-01,45.94,123624,406
2,2022-12-02,46.17,61350,461
2,2022-12-03,46.32,88032,327
2,2022-12-04,46.48,130443,182
2,2022-12-05,46.69,126159,431
